train_loss,dataset,layer,test_acc,test_f1,test_precision,test_recall
tensor(0.6685),science_elementary,0,0.8125,0.8965517282485962,0.8125,1.0
tensor(0.3255),science_elementary,1,0.78125,0.8771929740905762,0.78125,1.0
tensor(0.4469),science_elementary,2,0.7708333134651184,0.862500011920929,0.7840909361839294,0.9583333134651184
tensor(0.6103),science_elementary,3,0.75,0.8571428656578064,0.75,1.0
tensor(0.6179),arc_hard,0,0.546875,0.7070707082748413,0.546875,1.0
tensor(0.6458),arc_hard,1,0.65625,0.7904762029647827,0.6535432934761047,1.0
tensor(0.3904),arc_hard,2,0.631147563457489,0.7169811129570007,0.6333333253860474,0.8260869383811951
tensor(0.6736),arc_hard,3,0.578125,0.6931818127632141,0.5446428656578064,0.953125
